C7057|Disease, Disorder or Finding
C59004|CTCAE Grade 4 Ureter Intra-Operative Injury
C59005|CTCAE Grade 4 Urethra Intra-Operative Injury
C78219|Below Normal Body Height
C3373|Skin Nodule
C79542|Body Odor
C2913|Cachexia
C59006|CTCAE Grade 4 Urinary Conduit Intra-Operative Injury
C26741|Delusion
C54271|Derealisation
C117199|Depressed Mood
C56725|CTCAE Grade 5 Other NOS Vein Injury
C56706|CTCAE Grade 4 Other NOS Vein Injury
C56708|CTCAE Grade 4 Superior Vena Cava Vein Injury
C56712|CTCAE Grade 4 Upper Extremity Vein Injury
C56727|CTCAE Grade 5 Superior Vena Cava Vein Injury
C56731|CTCAE Grade 5 Upper Extremity Vein Injury
C39624|Skin Plaque
C39594|Skin Rash
C59110|Urinary Tract NOS Intra-Operative Injury Adverse Event
C61043|Voice Alteration
C59111|Uterus Intra-Operative Injury Adverse Event
C54012|Dermal Nodule
C50495|Claudication
C34511|Coprophagia
C117253|Disinhibition
C59112|Vagina Intra-Operative Injury Adverse Event
C117264|Disordered Thinking
C97166|Echolalia
C56751|Viscera Vein Injury Adverse Event
C94397|Mycosis Fungoides Plaque
C117105|Discoid Rash
C114280|Drug Skin Rash
C119047|Erythema Migrans
C58593|CTCAE Grade 1 Urinary Tract NOS Intra-Operative Injury
C58731|CTCAE Grade 2 Urinary Tract NOS Intra-Operative Injury
C58869|CTCAE Grade 3 Urinary Tract NOS Intra-Operative Injury
C79539|Aphonia
C87169|High Pitched Cry
C116339|Hypophonia
C58594|CTCAE Grade 1 Uterus Intra-Operative Injury
C58732|CTCAE Grade 2 Uterus Intra-Operative Injury
C58870|CTCAE Grade 3 Uterus Intra-Operative Injury
C50744|Skin Tear
C26737|Cyanosis
C98909|Cyanotic Attacks in Children
C27011|Euphoric Mood
C58733|CTCAE Grade 2 Vagina Intra-Operative Injury
C58595|CTCAE Grade 1 Vagina Intra-Operative Injury
C58871|CTCAE Grade 3 Vagina Intra-Operative Injury
C121661|Intrusive Thought
C3036|Fatigue
C56654|CTCAE Grade 1 Viscera Vein Injury
C56675|CTCAE Grade 2 Viscera Vein Injury
C56695|CTCAE Grade 3 Viscera Vein Injury
C126656|Track Marks
C111884|Exanthem
C117107|Macular Rash
C117106|Malar Rash
C59007|CTCAE Grade 4 Urinary Tract NOS Intra-Operative Injury
C50523|Decreased Core Body Temperature
C59008|CTCAE Grade 4 Uterus Intra-Operative Injury
C87065|Cyanotic Body
C103191|Perinatal Cyanotic Attack
C87066|Cyanotic Limbs
C117196|Flat Affect
C59009|CTCAE Grade 4 Vagina Intra-Operative Injury
C117266|Flight of Ideas
C50556|Extreme Exhaustion
C34846|Nervous Debility
C56714|CTCAE Grade 4 Viscera Vein Injury
C56733|CTCAE Grade 5 Viscera Vein Injury
C112201|Polymorphous Light Eruption
C80119|Papulopustular Rash
C90597|Pustular Rash
C59113|Vein NOS Intra-Operative Injury Adverse Event
C59114|Vulva Intra-Operative Injury Adverse Event
C50437|Body Substance Discharge
C35435|Enlarging Abdomen
C61483|Frustration
C9493|Hypochondriasis
C37942|Distress
C118205|Homicidal Ideation
C58596|CTCAE Grade 1 Vein NOS Intra-Operative Injury
C58734|CTCAE Grade 2 Vein NOS Intra-Operative Injury
C58872|CTCAE Grade 3 Vein NOS Intra-Operative Injury
C58597|CTCAE Grade 1 Vulva Intra-Operative Injury
C58735|CTCAE Grade 2 Vulva Intra-Operative Injury
C4876|Symptom
C58873|CTCAE Grade 3 Vulva Intra-Operative Injury
C122470|Fistula Discharge
C78349|Hypomania
C34548|Fluid Discharge
C3038|Fever
C117271|Impaired Judgment
C117162|Emotional Distress
C93213|Impulsive Behavior
C59010|CTCAE Grade 4 Vein NOS Intra-Operative Injury
C59011|CTCAE Grade 4 Vulva Intra-Operative Injury
C3833|Asymptomatic
C7941|Body Temperature Associated Symptom
C50491|Chest Tightness or Pressure
C117171|Increased Energy
C121557|Bloody Discharge
C35448|Eye Discharge
C35161|Nipple Discharge
C34608|Fever of Unknown Origin
C36169|Hemorrhagic Fever
C111817|Hyperpyrexia
C34785|Loneliness
C47813|Hoarseness
C8499|Loss, Grief, and Bereavement
C50492|Chewing Difficulty
C85497|Chief Complaint
C117248|Manic Mood
C35143|Chills
C50717|Purulent Discharge
C121616|Wound Discharge
C35367|Intermittent Pyrexia
C114374|Intrapartum Pyrexia
C35292|Low Grade Fever
C117252|Mood Lability
C117263|Nightmare
C3109|Hot Flashes
C38469|Constitutional Symptom
C50512|Corneal Sensitivity
C117285|Obsessive Thinking
C26921|Fever Chills
C111658|Rigor
C78345|Hyperhidrosis
C114405|Postpartum Pyrexia
C35052|Sweating Fever
C35662|Tumor Associated Fever
C117261|Oppositional Behavior
C94438|Panic
C50589|Hyperthermia
C50535|Discomfort
C26917|Xerostomia
C94546|Paranoia
C87073|Excessive Sucking
C34718|Hypohidrosis
C118173|Pressured Speech
C50645|Mediastinal Shift
C99675|Psychological Denial
C50649|Membrane Breakage
C78302|Flu-Like Symptoms
C34703|Hyperalgesia
C93083|Lassitude
C117194|Psychomotor Retardation
C3283|Obesity
C117265|Racing Thoughts
C94250|Overweight
C117193|Repetitive Behavior
C86576|Paraparesis
C3832|Malaise
C119238|New or Worsening Symptom
C34824|Motion Sickness
C118206|Self-Injury
C120381|Central Obesity
C120380|Exogenous Obesity
C120378|Iatrogenic Obesity
C34796|Single Episode of Major Depressive Disorder
C120377|Childhood Overweight
C118171|Sleep Paralysis
C99018|Plethoric Face
C34364|Air Sickness
C116922|Parkinsonism
C80102|Suicidal Ideation
C34451|Car Sickness
C35011|Sea Sickness
C34858|Morbid Obesity
C97176|Maternal Obesity
C120382|Monogenic Obesity
C3303|Pain
C35787|Unstable Personality
C117198|Tearfulness
C50700|Polydipsia
C93084|Prostration
C80100|Presyncope
C122528|Violent Behavior
C122416|Refusal to Bear Weight
C84449|Childhood Obesity
C120379|Polygenic Obesity
C86024|Ache
C26682|Abdominal Pain
C27003|Acute Pain
C50720|Pyrogenic Reaction
C50726|Regurgitation
C107499|Sickness
C95746|Sleepiness
C5043|Ventilation or Perfusion Signs and Symptoms
C74533|Restlessness
C101161|Agonizing Pain
C113482|Abdominal Migraine
C35272|Lower Abdominal Pain
C35015|Shivering
C101162|Annoying Pain
C50762|Suffocation
C122578|Throat Tightening
C35041|Stress
C61454|Basilar Rales
C87099|Nasal Flaring
C3676|Alteration in Respiration
C117167|Inner Restlessness
C117168|Motor Restlessness
C34397|Arm Pain
C36172|Sweating
C40122|Pelvic Pain
C50464|Arthralgia
C3399|Swelling
C35128|Visual Discomfort
C92619|Job Strain
C119216|Rales
C27165|Respiratory Distress
C50474|Bradypnea
C26698|Apnea
C121558|Breath Holding
C38031|Tearing
C35051|Diaphoresis
C41830|Back Pain
C3279|Night Sweats
C78514|Ovulatory Pain
C114901|Bodily Pain
C34569|Elephantiasis
C3002|Edema
C123909|Ventilatory Threshold
C103190|Perinatal Respiratory Distress
C98823|Apnea of Prematurity
C2998|Dyspnea
C116335|Central Apnea
C27172|Neonatal Apneic Attack
C37966|Hiccough
C34788|Lower Back Pain
C75540|Tenderness
C9203|Breakthrough Pain
C3429|Incontinence
C38644|Bone Pain
C98811|Anasarca
C78263|Edema Trunk
C78262|Edema Limbs
C26884|Sleep Apnea
C34561|Paroxysmal Nocturnal Dyspnea
C87089|Irregular Respiration
C9232|Weight Change
C78223|Breast Pain
C101172|Burning Pain
C34699|Hip Pain
C35636|Lower Ribs Pain
C78289|Face Edema
C78324|Genital Edema
C80306|Pedal Edema
C116046|Central Sleep Apnea
C116337|Obstructive Sleep Apnea
C116314|Respiratory Depression
C50810|Weight Fluctuation
C50752|Stacking Breath
C78228|Buttock Pain
C62754|Weight Gain
C3445|Weight Loss
C79607|Laryngeal Edema
C26940|Chronic Pain
C38665|Chest Pain
C78437|Localized Edema
C78501|Neck Edema
C50767|Tachypnea
C112848|Excessive Weight Gain in Pregnancy
C101173|Cramping Pain
C124476|Gravid Uterus Adjusted Maternal Body Weight Gain
C90363|Average Body Weight Gain
C9467|Chronic Cancer Pain
C96210|Neuropathic Pain
C3307|Papilledema
C78530|Periorbital Edema
C78504|Non-Cardiac Chest Pain
C80098|Pitting Edema
C50809|Weakness
C101174|Crushing Pain
C112849|Low Weight Gain in Pregnancy
C112847|Maternal Weight Gain in Pregnancy
C90434|Percentage Body Weight Gain
C101175|Dull Pain
C81192|Vasogenic Edema
C78714|Visceral Edema
C78238|Chest Wall Pain
C37944|Ear Pain
C111659|Poor Weight Gain
C119200|Weight Gain Due to Fluid Retention
C78287|Eye Pain
C79594|Facial Pain
C78285|External Ear Pain
C34615|Flank Pain
C34618|Foot Pain
C78320|Gastrointestinal Pain
C78325|Gingival Pain
C34670|Heartburn
C78172|Anal Pain
C78304|Gallbladder Pain
C78280|Esophageal Pain
C101176|Hurting Pain
C50619|Intraoperative Pain
C78587|Rectal Pain
C78341|Hepatic Pain
C78630|Stomach Pain
C101163|Killing Pain
C79684|Lip Pain
C101164|Miserable Pain
C78440|Lymph Node Pain
C3244|Musculoskeletal Pain
C101165|Nagging Pain
C27009|Myalgia
C50663|Neck Pain
C78509|Oral Pain
C79695|Neuralgia
C122409|Ostomy Site Pain
C117084|Post-Herpetic Neuralgia
C78515|Pain in Extremity
C78527|Penile Pain
C78529|Perineal Pain
C34764|Leg Pain
C78546|Peritoneal Pain
C35789|Lower Thigh Pain
C79703|Phantom Pain
C78556|Pharyngolaryngeal Pain
C28260|Phantom Limb Pain
C78564|Pleuritic Pain
C35651|Post-Procedural Pain
C35667|Post-biopsy Pain
C101177|Pressing Pain
C34887|Post-Operative Pain
C101178|Radiating Pain
C78574|Prostatic Pain
C101179|Sharp Pain
C35022|Shoulder Pain
C101180|Shooting Pain
C101166|Sickening Pain
C78609|Sinus Pain
C78516|Skin Pain
C50748|Soreness
C101181|Splitting Pain
C79716|Scalp Pain
C78607|Scrotal Pain
C101182|Stabbing Pain
C101183|Tearing Pain
C101167|Terrifying Pain
C78636|Testicular Pain
C101168|Tiring Pain
C78640|Toothache
C101169|Torturing Pain
C101170|Troublesome Pain
C78656|Tumor Pain
C101171|Unbearable Pain
C83493|Urinary Tract Pain
C78694|Uterine Pain
C78701|Vaginal Pain
C78207|Bladder Pain
C78672|Urethral Pain
C103511|Worst Imaginable Pain
C1908|Drug, Food, Chemical or Biomedical Material
C1514|Agonist
C16338|Biomedical Material
C1932|Chemical Modifier
C1711|Myeloablative Agonist
C94548|Bioactive Glass Product
C61085|Demineralized Bone Matrix
C223|Alkylating Agent
C62651|Allergen
C42634|Dental Material
C347|Carcinogen
C1913|Drug or Chemical by Structure
C2664|Fibrin Sealant
C81723|Flucrylate
C111374|Cytochrome P450 3A4 Inducer
C82641|Lime (Calcium Oxide)
C62564|Dental Base
C62092|Dental Bonding Agent
C360|Chelating Agent
C1743|Chemical Carcinogen
C1898|Physical Carcinogens
C348|Environmental Carcinogen
C63845|Monomer
C62308|Nanoparticle
C579|Inorganic Chemical
C61778|Glycol Dimethacrylate
C111373|Cytochrome P450 3A4 Inhibitor
C47615|Methyl Methacrylate
C62293|Dentin Desensitizer
C42795|Dental Liner
C42635|Dental Cement
C47381|Acetohydroxamic Acid
C1496|DOTMP
C334|Edetate Calcium Disodium
C45189|Carcinogenic Mixture
C45174|Inorganic Carcinogen
C45175|Organic Carcinogen
C1956|Tobacco-Associated Carcinogen
C113679|Diesel Exhaust
C2434|Environmental Tobacco Smoke
C29841|Nickel Subsulfide
C62364|Nanoparticle Complex
C62379|Nanoparticle Type
C73434|Air
C87427|Antimony Triiodide
C65288|Carbon Dioxide
C95765|Polyacrylamide Hydrogel
C672|Mutagen
C118668|Polyethylene Glycol Hydrogel
C62565|Restorative Material
C86057|Cavitec
C62126|Cavity Liner
C89784|Fuji Lining LC
C64889|Bone Cement with Medicinal Substance
C64890|Bone Cement without Medicinal Substance
C90829|Edetate Calcium Disodium Anhydrous
C66857|MTA Cement
C61741|Edetate Disodium
C65508|Edetate Disodium Anhydrous
C44358|Coal Tar
C45902|Alcoholic Beverage
C44359|Coal Tar Pitch
C45557|Arsenic Compound
C45385|Carcinogenic Mineral
C45383|Carcinogenic Metal
C44328|Acetaldehyde
C80237|Allylthiourea
C44341|Diethylhexylphthalate
C29800|3,4-Benzpyrene
C44449|Sulfuric Acid-Containing Mist
C29777|Uranium Ore Dust
C62365|Nanocomposite
C62312|Nanocontainer
C62380|Buckyball
C62381|Engineered Nanoparticle
C62366|Nanodevice
C62382|Fullerene
C87466|Chromic Sulfate Decahydrate
C63373|Dry Ice
C91099|Deuterium Oxide
C1510|DNA Adduct
C28189|Silicone
C116878|Polyethylene Glycol Polymer Surgical Sealant
C86067|Dycal
C62566|Bonding Restorative Material
C52583|Amalgam
C52585|Resin Modified Glass Ionomer Liner
C86581|Prisma VLC Dycal
C76598|Edetate Sodium
C77834|Edetate Tripotassium
C52587|Sealant
C76599|Edetate Trisodium
C66824|Beer
C44361|Coke Oven Emission
C66826|Liquor
C66825|Sake
C44374|Diesel Exhaust Particulate
C45409|Carcinogenic Salt
C44382|Erionite
C284|Asbestos
C29853|Silicon Dioxide
C44338|Beryllium
C45558|Beryllium Compound
C44348|Cadmium
C44347|Butylated Hydroxyanisole
C45177|Carcinogenic Anthraquinone
C120473|4-Hydroxyestradiol
C44464|Carcinogen Containing Dye
C62369|Nanoemulsion
C62371|Nanomaterial
C62383|Nanochannel
C62385|Nanofiber
C62367|Nanobomb
C62368|Nanocantilever
C62386|Nanohorn
C464|Electrolytes
C1061|Daunorubicin-DNA Complex
C512|Free Radical
C1075|Doxorubicin-DNA Complex
C790|Pyrimidine Dimer
C1940|Element
C83194|Tissue Marking Ink
C62297|Flowable Composite
C62295|Sedative Filling
C62296|Hybrid Composite
C52584|Porcelain Veneer
C61742|Edetic Acid
C73516|Toothpaste
C72097|Egtazic Acid
C47532|Ferric Ferrocyanide
C44446|Soot
C66822|Wine
C66823|Wine Cooler
C44463|Wood Dust
C45526|Actinolite Asbestos
C44360|Cobaltous Sulfate
C45528|Anthophyllite Asbestos
C45527|Amosite Asbestos
C44441|Respirable Crystalline Silica
C45882|Beryl Ore
C44349|Cadmium Compound
C45884|Beryllium-Aluminum Alloy
C45883|Beryllium-Copper Alloy
C44357|Chromium Hexavalent Compound
C44351|Carcinogenic Hydrocarbon
C44363|Danthron
C44380|CI Disperse Blue 1
C44302|1-Amino-2-methylanthraquinone
C45404|3,3-Dimethoxybenzidine Containing Dye
C45405|3,3-Dimethylbenzidine Containing Dye
C45406|Benzidine Containing Dye
C62372|Nanoprobe
C62373|Nanorod
C62374|Nanosensor
C62388|Nanosphere
C73455|Nanotube
C62387|Single-Walled Nanohorn
C67342|Ice
C1421|Oxygen Radical
C2171|Cyclobutane Pyrimidine Dimer
C95187|Antimony
C28131|Arsenic
C52586|Resin-Based Composite
C61475|Barium
C47791|2-Hydroxyethyl Methacrylate
C86934|Vitrebond
C66862|Thermal Fill
C76600|Gluceptate Sodium
C61777|Gluconic Acid
C556|Hydroxamic Acids
C84877|White Wine
C44440|Respirable Ceramic Fiber
C29816|Crocidolite Asbestos
C45529|Chrysotile Asbestos
C45530|Tremolite Asbestos
C45538|Respirable Cristobalite
C45537|Respirable Quartz
C45876|Beryllium Chloride
C45539|Respirable Tridymite
C45894|Cadmium Chloride
C45897|Cadmium Oxide
C45896|Cadmium Nitrate
C45877|Beryllium Fluoride
C45878|Beryllium Hydroxide
C45885|Calcium Chromate
C45886|Chromium Trioxide
C45891|Lead Chromate
C302|Benzene
C29824|Isoprene
C45188|Carcinogenic Polycyclic Aromatic Hydrocarbon
C44301|1-Amino-2,4-dibromoanthraquinone
C44310|2-Aminoanthraquinone
C45531|CI Direct Black 38
C45532|Direct Blue 6
C45534|Direct Brown 95
C62375|Nanoshell
C62376|Nanowire
C68566|SPIO Nanoparticle
C62378|Quantum Dot
C62389|Carbon Nanotube
C597|Ion
C852|Superoxide
C1130|Hydroxyl Radical
C61481|Boron
C93260|Pro-oxidant
C331|Calcium
C63798|Carbon
C1949|Food or Food Product
C90830|Lexidronam
C87690|Phytate Sodium
C44442|Respirable Glass Wool
C45895|Cadmium Sulfate
C45880|Beryllium Metaphosphate
C62357|Metal Chelator
C45898|Cadmium Sulfide
C45879|Beryllium Oxide
C45881|Beryllium Sulfate
C45889|Potassium Chromate
C45887|Sodium Chromate
C45890|Potassium Dichromate
C29850|Pristane
C29790|1,3-Butadiene
C44334|Benz[a]anthracene
C29810|Benzo[b]fluoranthene
C44336|Benzo[j]fluoranthene
C29817|Croton Oil
C45187|Cyclic Ether Carcinogen
C62390|Double-Walled Nanotube
C62391|Multi-Walled Nanotube
C62392|Single-Walled Nanotube
C718|Organic Chemical
C68233|Aluminum Cation
C82642|Barium Cation
C37918|Bicarbonate Ion
C28140|Chlorine
C83935|Mercuric Sulfide
C71583|Pyrogen
C95185|Erbium
C85242|Helium
C801|Razoxane
C1930|Food Component
C47723|Sodium Gluconate
C74001|Tiomolibdate Diammonium
C48384|Deferasirox
C62695|Food
C73030|Deferiprone
C45888|Sodium Dichromate
C44395|Lead Compound
C44396|Lead Metal
C45892|Strontium Chromate
C45893|Zinc Chromate
C44337|Benzo[k]fluoranthene
C29818|Cyclopenta[cd]pyrene
C44367|Dibenz[a,h]acridine
C44378|Dimethylcarbamoyl Chloride
C44339|Propiolactone
C44385|Furan
C45408|Carcinogenic Epoxide
C48803|Polymer
C94714|Aldehyde
C218|Alcohol [Chemical Class]
C82598|Carbonate Ion
C61660|Calcium Cation
C221|Alkaloid
C1741|Chloride Ion
C47933|Isotope
C859|Teratogen
C656|Mineral
C61800|Lanthanum
C66592|Tetraxetan
C283|Artificial Sweetener
C637|Metal
C54060|Bioactive Food Component
C1814|Nutrient
C90831|Tiomolibdic Acid
C76597|Deferitrin
C416|Deferoxamine
C65148|Applesauce
C85058|Beverage
C72058|Caviar
C1972|Deferoxamine Hydrochloride
C44407|Nickel Compound
C690|Nickel
C44368|Dibenz[a,j]acridine
C44369|Dibenzo[a,e]pyrene
C951|Dibenzo[a,h]anthracene
C29820|Ethyl Methanesulfonate
C29849|Piperonyl Butoxide
C44443|Safrole
C44373|Diepoxybutane
C44376|Diglycidyl Resorcinol Ether
C44381|Epichlorohydrin
C73478|Biopolymer
C63800|Copolymer
C62363|Dendrimer
C29744|Formaldehyde
C94711|Malondialdehyde
C2190|Alcohol
C54173|Fragment Ion
C28805|Denatured Absolute Ethanol
C47442|Cetyl Alcohol
C76713|Gallium Cation
C87421|Aconitine
C124073|Anabasine
C114277|Anatabine
C1375|Guanidinium Cation
C125228|Lead Pb-207
C77512|Xenon Xe-127
C791|Crystalline Silica Quartz
C894|Toxin
C70587|Hydrated Sodium Calcium Aluminosilicate
C799|Radioisotope
C61863|Nitrogen
C76601|Tropantiol
C76511|Acesulfame
C68297|Dietary Mineral
C76512|Acesulfame Potassium
C74194|Alitame
C95193|Bismuth
C93162|Aluminum
C370|Chromium
C328|Caffeine
C68520|Allyl-S Compound
C68530|Capsaicinoid
C87691|Unithiol
C417|Deferoxamine Mesylate
C1333|Dexrazoxane
C68655|Chocolate
C83638|Corn Syrup
C87562|Herbal Tea
C66945|Dexrazoxane Hydrochloride
C45867|Nickel Acetate
C45870|Nickel Carbonate
C45871|Nickel Carbonyl
C44370|Dibenzo[a,h]pyrene
C44371|Dibenzo[a,i]pyrene
C1069|Dibenzo (a,l) pyrene
C44384|Ethylene Thiourea
C44298|1,4-Dioxane
C29821|Ethylene Oxide
C44387|Glycidol
C44438|Propylene Oxide
C62384|Liposome Vesicle
C63925|Macromolecular Branch
C86968|Plastic
C602|Isopropyl Alcohol
C116390|Alpha-Hydroxyglutarate
C61802|Lanthanum Cation (3)
C217|Methyl Alcohol
C107140|Phenanthrene Tetraol
C69075|Lithium Cation
C83551|Berberine
C87455|Brucine
C87456|Brucine Sulfate Heptahydrate
C68265|Magnesium Cation
C296|Bacterial Toxin
C80866|Eledoisin
C2179|Fusion Toxin
C1638|Carbon C-14
C68812|Cesium Cs 137
C722|Oxygen
C95022|Cesium Cs-131
C77135|Alitame Anhydrous
C68232|Dietary Aluminum
C68234|Dietary Arsenic
C68237|Dietary Boron
C76513|Aspartame
C72565|Betamipron
C39765|Gadolinium
C66798|Gallium
C391|Copper
C68521|Allicin
C68522|Allyl Mercaptan
C397|Coumarin
C68523|Diallyl Disulfide
C68531|Dihydrocapsaicin
C339|Capsaicin
C75634|Cottonseed Meal
C432|Ditiocarb
C87570|Sage Tea
C47494|Dimercaprol
C74527|Cumin
C80963|Ditiocarb Sodium
C45868|Nickel Chloride
C45863|Nickel Hydroxide
C45864|Nickel Monoxide
C44393|Indeno[1,2,3-cd]pyrene
C29839|Naphthalene
C29804|5-Methylchrysene
C29822|Ferric-Nitrilotriacetate
C44447|Styrene Oxide
C44326|4-Vinyl-1-cyclohexene Diepoxide
C29462|Sorbitol
C232|Amino Acid, Peptide, or Protein
C68267|Mn2+
C82130|Synthetic Polymer
C68268|Mn3+
C79914|Cathine
C81360|Cloquinozine
C79899|Conessine
C61943|Sodium Cation
C82623|Botulinum Toxin Type A
C87453|Rimabotulinumtoxinb
C444|Diphtheria Toxin
C2383|DAB389 Epidermal Growth Factor
C688|Neurotoxin
C1476|Denileukin Diftitox
C80652|Chromium Cr-51
C28239|Cobalt Co-60
C47934|Phosphorus
C92219|Cobalt Co-57
C77136|Calcium Cyclamate
C68235|As3+
C68239|Dietary Cadmium
C68236|As5+
C68238|B3+
C76514|Cyclamic Acid
C81626|Calcium Cyclamate Anhydrous
C95170|Germanium
C2392|Gold
C99317|Hafnium
C68524|Allyl Sulfide
C68532|Coumestan
C68525|Diallyl Trisulfide
C68526|E-ajoene
C68514|Dietary Alcohol
C413|Dairy Product
C86036|Drink
C120569|Pentetate Calcium
C72064|Egg, Poultry
C62358|Gadolinium-Chelate
C45869|Nickel Sulfate
C74576|Pentetate Calcium Trisodium
C45866|Nickel Sulfide
C45872|Nickelocene
C44327|7H-Dibenzo[c,g]carbazole
C44390|Hexamethylphosphoramide
C29823|Hydroquinone
C231|Amino Acid
C443|Biphosphonate
C735|Peptide
C76207|Sulfate Ion
C73539|Amino Acid Derivative
C82310|Dimethylaminoethyl Methacrylate - Butyl Methacrylate - Methyl Methacrylate Copolymer
C76093|Alfadex
C55823|Beta-methyl Cyclodextrin
C68296|Zinc Cation
C79872|Conessine Hydrobromide
C87476|Coniine
C87477|Coniine Hydrobromide
C50918|Endotoxin
C736|Pertussis Toxin
C470|Enterotoxin
C297|Batrachotoxin
C94723|Chlorotoxin
C400|Crotoxin
C92220|Gallium Cation GA-67
C1923|Nutritional Toxin
C121554|Gallium Ga 68 Citrate
C765|Potassium
C1943|Holmium Ho-166
C87668|High Fructose Corn Syrup
C68240|Cd2+
C68241|Dietary Calcium
C68243|Dietary Chlorine
C81025|Lactitol
C77137|Lactitol Monohydrate
C66827|Indium
C95183|Iridium
C598|Iron
C63658|S-Allylcysteine
C93321|Coumestrol
C68528|S-Allylmercaptocysteine
C68529|Z-ajoene
C68515|Dietary Ash
C71930|Butter
C72059|Buttermilk
C72806|Goat Milk
C71956|Egg White
C71955|Egg Yolk
C120570|Pentetate Zinc
C77547|Gadobenate Dimeglumine
C76043|Gadobenic Acid
C70675|Gadobutrol
C77835|Pentetate Zinc Trisodium
C44401|Methyleugenol
C44403|Michler's Ketone
C44427|Ochratoxin A
C77308|D-Arginine
C29606|Arginine Hydrochloride
C61715|D-Phenylalanine
C61625|Alendronic Acid
C87458|Butedronate Tetrasodium
C973|Alendronate Sodium
C81690|Albumin Aggregated
C214|Albumin
C65218|Albumin (Human)
C77305|Acetyltryptophan
C72679|Acetylleucine
C74109|Acedoben
C83592|Carbomer Homopolymer Type C (Allyl Pentaerythritol Crosslinked)
C80917|Betadex
C83594|Carboxymethylcellulose
C87478|Coniine Hydrochloride
C822|Salt
C1225|Shiga Toxin
C79997|Cotarnine Chloride
C79913|Cotarnine
C368|Cholera Toxin
C1083|Staphylococcal Enterotoxin A
C87485|Dimethylmercury
C1084|Staphylococcal Enterotoxin B
C28175|Parachloroamphetamine
C87770|Picrotoxinin
C1640|Indium In-111
C674|Mycotoxin
C87411|Iodide I-125
C809|Ricin
C87413|Iodide Ion I-131
C77138|Maltitol
C465|Radioactive Element
C68245|Dietary Chromium
C68247|Dietary Cobalt
C68249|Dietary Copper
C66081|Melizame
C81625|Neotame
C95186|Lithium
C624|Manganese
C66842|Mercury
C2317|Dietary Lipid
C68470|Dietary Carbohydrate
C68492|Dietary Fiber
C66153|Cow Milk
C93090|Enriched Food
C460|Pentetic Acid
C81056|Gadofosveset
C2562|Food Oil
C65795|Gadodiamide
C81057|Gadofosveset Trisodium
C1710|Pentetic Acid Calcium
C45183|Organo-halide Carcinogen
C45190|Organo-sulfur Carcinogen
C45176|Organo-nitrogen Carcinogen
C77309|DL-Arginine
C62668|DL-Arginine Hydrochloride
C81373|DL-Glutamic Acid
C72092|Butedronic Acid
C87474|Clodronate Disodium Anhydrous
C85253|Bovine Serum Albumin
C94722|Glycopeptide
C1418|Clodronate Disodium
C72682|Afalanine
C118881|Alpha-Aminoadipic Acid
C1893|Dolastatin Compound
C118884|Alloisoleucine
C83595|Carboxymethylcellulose Calcium
C79876|Cellulose, Microcrystalline
C83596|Carboxymethylcellulose Sodium
C25949|Hydrochloride Salt
C82074|Potassium Nitrate
C81357|Desocriptine
C65582|Etisulergine
C64181|Gramine
C1085|Staphylococcal Enterotoxin C
C78845|Tetrodotoxin
C104270|Iridium Ir 192
C1068|Anguidine
C213|Aflatoxin
C1107|Fumonisin B1
C810|Ricin A Chain
C76281|Krypton Kr-81m
C2847|Mesothorium
C81624|Polydextrose
C229|Americium
C2391|Radium
C800|Radon
C68246|Chromic Cation
C68248|Cobaltous Cation
C68251|Cupric Cation
C68250|Cuprous
C76515|Saccharin
C80009|Saccharin Calcium
C95182|Osmium
C666|Molybdenum
C95184|Palladium
C68340|Dietary Phospholipid
C68341|Dietary Steroid
C68339|Dietary Fatty Acid
C70550|Dietary Polysaccharide
C68471|Monosaccharide
C68472|Disaccharide
C75955|Corn Bran
C68491|Cellulose
C68493|Crude Fiber
C93089|Fortified Food
C76602|Ranelic Acid
C81058|Gadofosveset Trisodium Anhydrous
C1036|Canola Oil
C65347|Coconut Oil
C392|Corn Oil
C128640|Gadolinium-based Contrast Agent P03277
C1945|Fruit or Vegetable
C76632|Gadopenamide
C61953|Succimer
C44333|BBMP
C44343|Bis(chloromethyl) Ether
C45185|Carcinogenic Halogenated Aromatic Hydrocarbon
C44375|Diethyl Sulfate
C44377|Dimethyl Sulfate
C44399|Methyl Methanesulfonate
C44329|Acrylamide
C28130|Acrylonitrile
C45178|Carcinogenic Aromatic Amine
C61713|DL-Phenylalanine
C65128|3-Tyrosine, DL-
C79999|Glycine Hydrochloride
C61685|Clodronic Acid
C1964|Miniantibody
C1332|Etidronic Acid
C80992|Ovalbumin
C120012|Aminoadipic Semialdehyde
C831|Etidronate Disodium
C118877|Anserine
C1439|Dolastatin 15
C1969|Dolastatin 9
C1300|Dolastatin 10
C118879|Argininosuccinic Acid
C80923|Croscarmellose Sodium
C80893|Crospovidone
C78670|Gamma Cyclodextrin
C45499|Selenium Compound
C1120|Halofuginone
C76031|Hydrastine
C76032|Hydrastine Hydrochloride
C1456|Superantigen
C28206|Viscotoxin
C80646|Molybdenum Mo-99
C858|Tenuazonic Acid
C1315|Aflatoxin B1
C2550|Palladium Pd-103
C1698|Phosphorus P-32
C95081|Potassium Saccharin
C86020|Uranium
C68254|Dietary Iodine
C68252|Dietary Fluorine
C68256|Dietary Iron
C76516|Saccharin Sodium Dihydrate
C77139|Saccharin Sodium Anhydrous
C756|Platinum
C113467|Platinum-Group Metal
